,congruent,diffBelief,diffBeliefAbs,diffUncertainty,diffUncertaintyAbs,nDataShown,pearsonrShown,postBelief,postBeliefDistance,postUncertainty,postUncertaintyLower,postUncertaintyUpper,preBelief,preBeliefDistance,preUncerainty,preUncertaintyLower,preUncertaintyUpper,uncertaintyShown,usertoken,varindex,vars,visGroup,congruency
41,true,-0.5244598470472304,0.5244598470472304,0.4342699501887042,0.4342699501887042,100,-0.7233894419161956,-0.4755401529527697,0.2478492889634259,0.5573996416047773,-0.1968403321503811,-0.7542399737551584,-1.0,0.2766105580838044,0.1231296914160731,-0.8768703085839269,-1,0.18337571967892963,LKxdz5an,0,"Amount of rainfall
Number of sunny days",band,congruent
42,false,0.04270371417616525,0.04270371417616525,-0.17618985566075018,0.17618985566075018,100,-0.4459102807954634,0.5250879855160906,0.970998266311554,0.6882267449547383,0.1809746130387213,0.8692013579934597,0.5677916996922558,1.0137019804877192,0.8644166006154885,0.13558339938451147,1,0.31320087095742843,LKxdz5an,1,"Annual carbon emissions
Global temperature increase",band,incongruent
43,true,-0.13612618466660176,0.13612618466660176,-0.19108024243564214,0.19108024243564214,100,-0.39801122620574464,-0.47768787983038696,0.07967665362464232,0.6136110060416691,-0.17088237680955243,-0.7844933828512215,-0.6138140644969887,0.21580283829124408,0.8046912484773112,-0.19530875152268873,-1,0.3724561528699505,LKxdz5an,2,"Avg. hours on social media
Avg. hours of sleep",band,congruent
44,true,0.06294138388835191,0.06294138388835191,-0.4834729201768502,0.4834729201768502,100,0.39923606157802755,0.5814233252179437,0.18218726363991616,0.2277976616105586,0.4675244944126644,0.695322156023223,0.6443647091062956,0.24512864752826807,0.7112705817874088,0.28872941821259124,1,0.321412078351478,LKxdz5an,3,"Avg. hours on social media
Depression severity",band,congruent
45,false,0.9015362108696345,0.9015362108696345,0.32277364269205,0.32277364269205,10,-0.8201348575775399,-0.6250566712383683,0.19507818633917162,0.8622668366228177,-0.13773316337718228,-1,0.27647953963126626,1.096614397208806,0.5394931939307677,0.006732942665882424,0.5462261365966501,0.5111771336758538,LKxdz5an,4,"College GPA
Post-college income",band,incongruent
46,true,-0.2258047838563937,0.2258047838563937,-0.6507717602565992,0.6507717602565992,10,0.3431165998437224,0.2099152566143503,0.1332013432293721,0.777107057738029,-0.17863827225466422,0.5984687854833648,-0.0158895272420434,0.3590061270857658,1.4278788179946282,-0.7298289362393575,0.6980498817552707,1.509975124287319,LKxdz5an,5,"Height
College GPA",band,congruent
47,false,0.7295545946664308,0.7295545946664308,0.818920965443934,0.818920965443934,10,0.19066678981569393,0.2704454053335692,0.07977861551787527,1.0019907677418132,-0.23054997853733733,0.7714407892044759,1.0,0.809333210184306,0.18306980229787917,0.8169301977021208,1,1.2346968258590563,LKxdz5an,6,"Homeless population
Uninsured population",band,incongruent
48,true,-0.4171416736159865,0.4171416736159865,0.2705021341223668,0.2705021341223668,10,-0.42277846710990713,-0.43705562272455595,0.014277155614648818,0.9169189728177989,-0.8955151091334554,0.021403863684343438,-0.8541972963405424,0.4314188292306353,0.6464168386954321,-0.3535831613045679,-1,1.1371070902909328,LKxdz5an,7,"Hours of TV watched in a month
Number of books read in a month",band,congruent
49,false,-0.6810880438591109,0.6810880438591109,-0.7097046164819809,0.7097046164819809,100,0.7881796374539337,0.6748810010175628,0.11329863643637095,0.3872344457504153,0.481263778142355,0.8684982238927703,-0.0062070428415481604,0.7943866802954819,1.0969390622323962,-0.5546765739577464,0.5422624882746498,0.13042551825345594,LKxdz5an,8,"Immigrant population
Crime rate",band,incongruent
50,false,0.8659289902360063,0.8659289902360063,0.0778327554187741,0.0778327554187741,100,-0.5228483633950122,-0.398527909610521,0.12432045378449119,0.48154992550351694,-0.15775294685876262,-0.6393028723622796,0.46740108062548535,0.9902494440204975,0.40371717008474284,0.26554249558311405,0.6692596656678569,0.21365589115297445,LKxdz5an,9,"Minimum wage
Unemployment rate",band,incongruent
